cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,dep,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,depfor,trn,ddt,ntr,ntrsmmda,ntrsoth,ntrtime,ts,depnidom,depidom,coredep,depins,irakeogh,bro,broins,DEPLSNB,depnifor,depifor
"29517","3583","445674","0","Pioneer Federal Savings and Loan Association","Deer Lodge","MT","59722","3/31/2015","5/17/2015","SA","401 Milwaukee Ave","","2","0","0","5","0","Powell","","","1/1/1912","12/28/1935","7/21/2011","Non-Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","www.pioneerfed.com","80643","80643","75168","0","5475","0","0","0","","11944","2831","68699","7413","19978","41307","77812","2899","77744","73185","73292","16141","0","0","0","",""
"20741","4949","237619","0","Pioneer Savings Bank","Troy","NY","12181","3/31/2015","5/17/2015","SB","21 Second Street","","17","0","0","4","0","Rensselaer","10580","Albany-Schenectady-Troy, NY","1/1/1889","7/1/1972","9/19/2013","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","www.pioneersb.com","760599","760599","666488","0","94111","0","0","0","","109984","79180","650615","187006","343337","120272","681419","189397","571202","752090","588050","37619","0","0","0","",""
"11726","13220","861742","1207178","Pioneer State Bank","Earlville","IL","60518","3/31/2015","5/17/2015","NM","137 South Main Street","NBE BANCSHARES, INC","2","0","0","2","0","La Salle","","","6/30/1901","1/1/1934","3/14/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","www.pioneerstatebank.com","53710","53710","45081","0","8628","0","0","0","","16486","15682","37223","3813","15232","18178","38027","7694","46016","53110","48156","5002","100","100","348","",""
"19827","9262","852973","1404735","Pioneer Trust Bank, National Association","Salem","OR","97308","3/31/2015","5/17/2015","N","109 Commercial Street, N.E.","PTB CORPORATION","2","0","0","4","0","Marion","41420","Salem, OR","1/1/1924","7/1/1968","3/31/2006","Stock","0","1","OCC","DIF","San Francisco","SAN FRANCISCO","Portland","San Francisco","Western","West","WWW.PIONEERTRUSTBANK.COM","335526","335526","332873","0","2653","0","0","0","","51596","32313","283930","237898","13819","32213","303213","32313","303213","329658","245144","6392","0","0","0","",""
"17443","8454","591209","0","Piscataqua Savings Bank","Portsmouth","NH","3801","3/31/2015","5/17/2015","SB","15 Pleasant Street","","1","0","0","5","0","Rockingham","14460","Boston-Cambridge-Newton, MA-NH","1/1/1877","7/1/1955","5/18/2012","Non-Stock","0","1","FDIC","DIF","New York","NEW YORK","Concord","Boston","Northeastern","Northeast","www.piscataqua.com","196414","196414","196322","0","92","0","0","0","","51090","5165","145324","33831","33906","77587","191249","5165","191249","188368","180951","12372","0","0","0","",""
"1678","0","593052","0","Plains Commerce Bank","Hoven","SD","57450","3/31/2015","5/17/2015","NM","220 Main Street","","8","0","1","2","1","Potter","","","7/16/1931","1/1/1934","5/27/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","http://www.plainscommerce.com","476169","476169","433692","0","35983","6494","0","0","","111661","76915","364508","51795","29030","283683","399254","47932","428237","370987","414052","24527","34000","34000","0","",""
"17739","0","972862","3720082","Plains State Bank","Humble","TX","77338","3/31/2015","5/17/2015","NM","19404 Kenswick Drive","PLAINS ACQUISITION CORPORATION","4","0","0","4","0","Harris","26420","Houston-The Woodlands-Sugar Land, TX","4/6/1957","4/6/1957","11/1/2010","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","http://www.psbplains.com","302025","302025","185999","0","95802","20224","0","0","","104140","61715","197885","84106","1928","111851","240310","61715","240309","284249","209324","13773","5458","5458","19737","",""
"17491","9986","637451","2348470","PlainsCapital Bank","Dallas","TX","75219","3/31/2015","5/17/2015","SM","2323 Victory Avenue","MAEDGEN & WHITE, LTD.","75","0","1","4","0","Dallas","19100","Dallas-Fort Worth-Arlington, TX","9/15/1955","9/15/1955","1/1/2015","Stock","0","1","FED","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","www.plainscapital.com","6525434","6525434","5870834","268","527211","127121","0","0","","669532","640202","5855902","3922327","344919","1588656","5885232","2155920","4369514","5681791","3369610","107798","157620","157620","95575","",""
"10072","14305","132938","1081529","Planters and Citizens Bank","Camilla","GA","31730","3/31/2015","5/17/2015","NM","21 North Harney Street","P & C BANK SHARES, INC.","1","0","0","2","0","Mitchell","","","5/24/1913","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","http://www.pcbankonline.com","109175","109175","98105","0","11070","0","0","0","","62461","44880","46714","10577","21448","14689","64295","44880","64295","108668","66459","6186","0","0","0","",""
"8235","9989","972648","1096484","Planters Bank & Trust Company","Indianola","MS","38751","3/31/2015","5/17/2015","NM","212 Catchings Street","PLANTERS HOLDING COMPANY","13","0","0","8","0","Sunflower","","","4/10/1920","1/1/1934","12/6/2008","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Jackson Ms","St. louis","Southern","West","http://www.planters-bank.com","779539","779539","582481","9","197049","0","0","0","","93119","28425","686420","382470","38561","265389","751114","177981","601558","711905","511076","36738","0","0","0","",""
"34254","0","2497181","3013225","Planters Bank, Inc.","Hopkinsville","KY","42240","3/31/2015","5/17/2015","NM","1312 South Main Street","PLANTERS FINANCIAL GROUP, INC","15","0","1","4","1","Christian","17300","Clarksville, TN-KY","9/12/1996","9/12/1996","1/18/2013","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Hopkinsville","St. louis","Central","Southeast","www.plantersbankonline.com","691660","691660","521323","0","121199","49138","0","0","","54491","44328","637169","136419","226960","273790","647332","117706","573954","570128","491537","16996","87463","86963","46783","",""
"9064","13916","300933","1081136","PlantersFIRST","Cordele","GA","31015","3/31/2015","5/17/2015","NM","1620 East Sixteenth Avenue","MID STATE BANKS, INC.","8","0","0","4","1","Crisp","","","1/1/1896","1/1/1934","2/9/2015","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","http://www.plantersfirst.com","246645","246645","234607","2","11826","210","0","0","","116972","83345","129673","35315","15403","78955","163300","77294","169351","242243","220340","20985","0","0","0","",""
